"*Nama Kontak","Nama Perusahaan","Email","Alamat","Provinsi","Kota","Nomor Telepon","*Nomor Biaya","*Tanggal Transaksi (dd/mm/yyyy)","Tanggal Jatuh Tempo (dd/mm/yyyy)","Catatan","Termasuk Pajak (Ya / Tidak)","*Kode Akun Biaya","Nama Akun Biaya","Deskripsi Biaya","Pajak Biaya","Jumlah Biaya","Status Dibayar (Ya / Tidak)","Kode Akun Pembayaran","Tag (Beberapa Tag Dipisah Dengan Koma)","Kode Akun Pemotongan","Jumlah Pemotongan","Sisa Tagihan","Total","Tanggal Pembayaran (dd/mm/yyyy)","Pembayaran Kas & Bank"
"EKSPEDISI","","","","","","","EXP/01157","24/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman Paku s Palang Hitam 499 kg a.n PT Indotama Omicron Kahar (Bp. Wakhid)","","600000","Ya","1-10003","","","","0","602500","24/01/2025","Giro"
"EKSPEDISI","","","","","","","EXP/01157","24/01/2025","","","Tidak","8-80000","Beban Bunga","Biaya Admin","","2500","Ya","1-10003","","","","0","602500","24/01/2025","Giro"
"MADAM TAX","","","","","","","EXP/01156","24/01/2025","","INV_2025_00015","Tidak","6-60209","Legal & Profesional","DP Jasa Pembuatan Laporan Keuangan dan SPT Tahunan 2024","","3000000","Ya","1-10003","SPT Badan Tahunan","","","0","3002500","24/01/2025","Giro"
"MADAM TAX","","","","","","","EXP/01156","24/01/2025","","INV_2025_00015","Tidak","8-80000","Beban Bunga","Admin Bank","","2500","Ya","1-10003","SPT Badan Tahunan","","","0","3002500","24/01/2025","Giro"
"DIRJEN PAJAK","","","","","","","EXP/01155","23/01/2025","","","Tidak","9-90000","Beban Pajak - Kini","Pembayaran PBB K 23/23 (23 Jan 25)","","138111","Ya","1-10003","","","","0","138111","23/01/2025","Giro"
"DIRJEN PAJAK","","","","","","","EXP/01154","23/01/2025","","","Tidak","9-90000","Beban Pajak - Kini","Pembayaran PBB K 18/14 (23 Jan 25)","","127425","Ya","1-10003","","","","0","127425","23/01/2025","Giro"
"Richard","PT. Plastrade World","","Jl. H. Samanhudi 30A, Pasar Baru, Sawah Besar","","","081113106726","EXP/01153","22/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Administrasi Pengambilan Bahan Baku 2.000 kg Up. PT Plastrade World","","26400","Ya","1-10003","","","","0","26400","22/01/2025","Giro"
"LALAMOVE","","","","","","","EXP/01152","23/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengantaran Sample Warna (dalam bentuk produk) Up. PT Mega Cahaya Cilacap","","50180","Ya","1-10004","","","","0","50180","23/01/2025","Bank BRI"
"LALAMOVE","","","","","","","EXP/01151","21/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman Bahan Baku Mainan Blow 20 Sak, 5 Pewarna dan 10 Kg Kantong Kemasan Galon Up. Bp Joko","","90000","Ya","1-10003","","","","0","125000","21/01/2025","Giro"
"LALAMOVE","","","","","","","EXP/01151","21/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Bongkar Muat","","35000","Ya","1-10003","","","","0","125000","21/01/2025","Giro"
"LALAMOVE","","","","","","","EXP/01150","20/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman Paku S Palang Natural Grade A 400 kg Up. PT Graha Utama Timber","","350000","Ya","1-10003","","","","0","600000","20/01/2025","Giro"
"LALAMOVE","","","","","","","EXP/01150","20/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengambilan Bahan Baku 43 sak dan 6 pewarna Up. PT Mega Cahaya Cilacap","","250000","Ya","1-10003","","","","0","600000","20/01/2025","Giro"
"LALAMOVE","","","","","","","EXP/01149","21/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Pengambilan Moulding OZ 16 DATAR Up. Bp Pranto","","63364","Ya","1-10001","Mold OZ 16 Datar","","","0","63364","21/01/2025","Cash"
"TOKPED","","","","","","","EXP/01148","16/01/2025","","TLJC3D8MGVGYH316","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Layanan Bebas Ongkir Regular Shop","","9600","Ya","1-10005","","","","0","28800","16/01/2025","Kas penjualan online"
"TOKPED","","","","","","","EXP/01148","16/01/2025","","TLJC3D8MGVGYH316","Tidak","6-60001","Iklan & Promosi","Biaya Layanan Regular Shop","","19200","Ya","1-10005","","","","0","28800","16/01/2025","Kas penjualan online"
"BANK BRI","","","","","","","EXP/01147","16/01/2025","","","Tidak","8-80000","Beban Bunga","Admin Fee","","5500","Ya","1-10004","","","","0","8000","16/01/2025","Bank BRI"
"BANK BRI","","","","","","","EXP/01147","16/01/2025","","","Tidak","8-80000","Beban Bunga","Monthly Fee Admin","","2500","Ya","1-10004","","","","0","8000","16/01/2025","Bank BRI"
"HAFIZ","","","","","","","EXP/01146","19/01/2025","","","Tidak","6-60102","Upah","Payroll Pak Hafiz 6 D (18 Jan 25)","","600000","Ya","1-10003","","","","0","600000","19/01/2025","Giro"
"Elsawati","","","Kp. Periuk RT. 06/04, Mekarsari, Rajeg, Tangerang, Banten","Banten","Tangerang","081211499511","EXP/01145","19/01/2025","","","Tidak","6-60102","Upah","Payroll Elsa 6 D (18 Jan 25)","","480000","Ya","1-10003","","","","0","480000","19/01/2025","Giro"
"M. Slamet Riyadi","","","Kp. Periuk RT. 003/004, Mekarsari, Rajeg, Tangerang, Banten","Banten","Tangerang","","EXP/01144","18/01/2025","","","Tidak","6-60102","Upah","Payroll Adi (6 D)","","480000","Ya","1-10003","","","","0","480000","18/01/2025","Giro"
"ANGGI","","","","","","","EXP/01143","18/01/2025","","","Tidak","6-60102","Upah","Pembayaran Teknisi Mesin No. 4","","300000","Ya","1-10003","Mesin No. 4","","","0","300000","18/01/2025","Giro"
"LALAMOVE","","","","","","","EXP/01142","17/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengambilan Per di Toko Liloi","","40982","Ya","1-10001","","","","0","44982","17/01/2025","Cash"
"LALAMOVE","","","","","","","EXP/01142","17/01/2025","","","Tidak","6-60202","Bensin, Tol dan Parkir - Umum","Biaya Parkir Pengambilan Per di Toko Liloi","","4000","Ya","1-10001","","","","0","44982","17/01/2025","Cash"
"LALAMOVE","","","","","","","EXP/01141","15/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman Sample Mainan Blow Up. Bp Fajar","","55699","Ya","1-10001","","","","0","55699","15/01/2025","Cash"
"LALAMOVE","","","","","","","EXP/01140","15/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman Paku S Palang Natural 150 Kg Up. Bp Edhi","","159841","Ya","1-10001","","","","0","159841","15/01/2025","Cash"
"LALAMOVE","","","","","","","EXP/01139","14/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Pengiriman Bahan Baku Mainan Blow Up. Bp Joko","","14921","Ya","1-10001","","","","0","14921","14/01/2025","Cash"
"LALAMOVE","","","","","","","EXP/01138","13/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Pengiriman Moulding Up. Bp Marjoko","","51815","Ya","1-10001","","","","0","51815","13/01/2025","Cash"
"LALAMOVE","","","","","","","EXP/01137","11/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Pengiriman 3 Moulding Mainan Blow","","135006","Ya","1-10001","","","","0","135006","11/01/2025","Cash"
"LALAMOVE","","","","","","","EXP/01135","07/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Pengambilan Bahan Baku Hyosung J1105T","","292292","Ya","1-10001","","","","0","292292","07/01/2025","Cash"
"POM BENSIN","","","","","","","EXP/01134","16/01/2025","","","Tidak","6-60003","Bensin, Tol dan Parkir - Penjualan","bbm 2 lt anter pqket cobra","","20000","Ya","1-10001","","","","0","20000","16/01/2025","Cash"
"TOSERBA","","","","","","","EXP/01133","14/01/2025","","","Tidak","6-60205","Entertain","beli minum buat driver dan bantu muat","","10000","Ya","1-10001","","","","0","10000","14/01/2025","Cash"
"KURIR","","","","","","","EXP/01132","14/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","kasih driver pak indra ambil 125 karung","","20000","Ya","1-10001","","","","0","20000","14/01/2025","Cash"
